판매처,카테고리 대,카테고리 중,카테고리 소,상품명,상품가격,상품번호,제조사/수입자,제조국
SSG.COM,여성브랜드패션,원피스,면/저지원피스,카라 포인트 브이넥 원피스 7210337003103,"259,000원",1000049827430,신세계인터내셔날/신세계인터내셔날,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,[케네스레이디] (E598)  프릴 라펠카라 플레어원피스 (EWOPKG0700),"64,467원",1000050991630,(주)라인바이린/(주)라인바이린,중국
SSG.COM,여성브랜드패션,원피스,민소매 원피스,쿨피스 브이넥 민소매 원피스 (T214MOP299W),"166,270원",1000068927805,(주)지엔코/(주)지엔코,중국
SSG.COM,여성브랜드패션,원피스,셔츠형 원피스,러플 카라 셔츠 원피스 JC10337100146,"259,000원",1000048390347,신세계인터내셔날/신세계인터내셔날,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,[케네스레이디] (E598) 플라워 프린팅 쉬폰원피스 (EWOPKH06),"72,618원",1000064493019,(주)린컴퍼니/(주)린컴퍼니,중국
SSG.COM,여성브랜드패션,원피스,면/저지원피스,배색 레이어드 플레어 원피스 7250337012199,"149,000원",1000051657447,신세계인터내셔날/신세계인터내셔날,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,플로럴 벨티드 원피스(OP-5172),"54,047원",1000052455135,(주)바이와이제이/(주)바이와이제이,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,(E504)[케네스레이디] 셔링넥 플레어 원피스(EGOPKI9800),"46,683원",1000067449983,(주)라인 바이린/(주)라인 바이린,중국
SSG.COM,여성브랜드패션,원피스,니트원피스,[지컷21S/S]러블리 퍼프 슬리브 니트원피스 (7251250002),"125,658원",1000061332893,(주)신세계인터내셔날/해당사항 없음,한국
SSG.COM,여성브랜드패션,원피스,롱원피스,롱기장의 솔리드 원피스 (T214MOP260W),"198,290원",1000065610250,(주)지엔코/(주)지엔코,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,(OP-4655)미니멀 포켓 니트 원피스,"16,697원",1000034985577,㈜바이와이제이/㈜바이와이제이,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,[라인](N604)레이스 카라 A라인 원피스(NWOPLC01L),"95,589원",1000067386509,(주)린컴퍼니/(주)린컴퍼니,중국
SSG.COM,여성브랜드패션,원피스,롱원피스,브이넥 단추 체크 원피스(GL5N0OP50),"32,390원",1000067393435,(주)바바패션/(주)바바패션,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,[라인어디션](N753) 넥 벨티드 플레어 원피스 (NGOPKH9400),"169,000원",1000064841146,(주)린컴퍼니/(주)린 컴퍼니,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,퍼플플라워 여성 반팔 쉬폰 플레어 롱 원피스,"22,877원",1000065673581,바비수아/해당사항 없음,기타
SSG.COM,여성브랜드패션,원피스,롱원피스,[케네스레이디] (E598) 퍼프 슬리브 랩리본 원피스 (EWOPKH0400),"85,956원",1000068011107,(주) 라인 바이린/(주) 라인 바이린,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,[케네스레이디] (E565) 오프 카라 A라인 체크원피스 (EWOPKG0200),"76,323원",1000068056298,(주)라인바이린/(주)라인바이린,중국
SSG.COM,여성브랜드패션,원피스,롱원피스,라운드넥 캉캉 원피스 (AM2WO586),"27,238원",1000068208923,(주)LAP/(주)LAP,중국
SSG.COM,여성브랜드패션,원피스,셔츠형 원피스,벨티드 셔츠형 원피스 Z203MSE103,"90,558원",1000052382273,(주)대현/해당사항 없음,한국
SSG.COM,여성브랜드패션,원피스,쉬폰/폴리원피스,레이스 펀칭 퍼프 화이트 원피스,"34,272원",1000064449203,드레스허그/해당사항 없음,기타
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,플루이드 셔츠 원피스 (SWWSTK22050),"40,800원",1000049980994,㈜인동에프엔/㈜인동에프엔,베트남
SSG.COM,여성브랜드패션,원피스,롱원피스,[Signature] ROBE Drape Dress_Beige,"203,910원",1000061379699,MUSEE/해당사항 없음,한국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,[라인어디션] (N755) 시스루 쉬폰 카라 원피스 (NWOPKG0500),"76,323원",1000067221816,(주) 린컴퍼니/(주) 린컴퍼니,중국
SSG.COM,여성브랜드패션,원피스,튜닉형/튜브형 원피스,옆슬릿 카라원피스(CK6E0OP64),"71,200원",1000044491062,(주)바바패션/(주)바바패션,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,[케네스레이디] (E598) 스퀘어넥 더블버튼 슬림원피스 (EWOPKG0900),"76,323원",1000050992208,(주)라인바이린/(주)라인바이린,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,E542 잔체크 스퀘어넥 벨티드 원피스 EWOPKF1700,"64,467원",1000067841493,(주)라인 바이린/(주)라인 바이린,중국
SSG.COM,여성브랜드패션,원피스,쉬폰/폴리원피스,숲 플라워 패턴 롱 원피스 (SW6OP80),"14,700원",1000050441972,준현/(주)동광인터네셔날,중국
